date,price_forecast,product,year,month
2025-01-01,4048.131591796875,사과,2025,1
2025-02-01,4047.738037109375,사과,2025,2
2025-03-01,4050.502685546875,사과,2025,3
2025-04-01,4878.77392578125,사과,2025,4
2025-05-01,4545.30615234375,사과,2025,5
2025-06-01,4427.04833984375,사과,2025,6
2025-07-01,3650.759765625,사과,2025,7
2025-08-01,4111.814453125,사과,2025,8
2025-09-01,4222.06884765625,사과,2025,9
2025-10-01,4270.69970703125,사과,2025,10
2025-11-01,4242.91796875,사과,2025,11
2025-12-01,4222.88037109375,사과,2025,12
2025-01-01,2008.06583871572,감귤,2025,1
2025-02-01,1992.640835889763,감귤,2025,2
2025-03-01,5014.922580686585,감귤,2025,3
2025-04-01,6162.670635623678,감귤,2025,4
2025-05-01,8572.493213995527,감귤,2025,5
2025-06-01,7165.921958356081,감귤,2025,6
2025-07-01,6183.335287836432,감귤,2025,7
2025-08-01,6588.517842913551,감귤,2025,8
2025-09-01,5264.752900916377,감귤,2025,9
2025-10-01,1919.596573899792,감귤,2025,10
2025-11-01,2008.908295555202,감귤,2025,11
2025-12-01,2287.839290259246,감귤,2025,12
2025-01-01,2436.139848590315,수박,2025,1
2025-02-01,4523.649716995557,수박,2025,2
2025-03-01,4468.035849318106,수박,2025,3
2025-04-01,3886.1328920498,수박,2025,4
2025-05-01,2590.626561504229,수박,2025,5
2025-06-01,1958.1799792914724,수박,2025,6
2025-07-01,1904.7123001244345,수박,2025,7
2025-08-01,2584.820372518129,수박,2025,8
2025-09-01,2406.091960443787,수박,2025,9
2025-10-01,2504.932696276358,수박,2025,10
2025-11-01,2764.973747122535,수박,2025,11
2025-12-01,2943.303901323412,수박,2025,12
2025-01-01,3988.193603515625,배,2025,1
2025-02-01,3929.417724609375,배,2025,2
2025-03-01,3883.34521484375,배,2025,3
2025-04-01,3789.367431640625,배,2025,4
2025-05-01,3498.9287109375,배,2025,5
2025-06-01,3564.0390625,배,2025,6
2025-07-01,3448.339599609375,배,2025,7
2025-08-01,3366.809326171875,배,2025,8
2025-09-01,3384.636962890625,배,2025,9
2025-10-01,3358.965576171875,배,2025,10
2025-11-01,3361.896240234375,배,2025,11
2025-12-01,3382.168212890625,배,2025,12
2025-01-01,8133.966483768438,포도,2025,1
2025-02-01,5706.68918778023,포도,2025,2
2025-03-01,5880.98116052781,포도,2025,3
2025-04-01,5618.072715769259,포도,2025,4
2025-05-01,6082.39822319558,포도,2025,5
2025-06-01,7721.415781993408,포도,2025,6
2025-07-01,8721.238090105879,포도,2025,7
2025-08-01,6187.480066176376,포도,2025,8
2025-09-01,5842.5324570636185,포도,2025,9
2025-10-01,5083.656538445094,포도,2025,10
2025-11-01,6262.878812337506,포도,2025,11
2025-12-01,6356.66882409652,포도,2025,12
2025-01-01,1114.1868896484375,양파,2025,1
2025-02-01,1043.6083984375,양파,2025,2
2025-03-01,1077.8909912109375,양파,2025,3
2025-04-01,1077.320068359375,양파,2025,4
2025-05-01,1130.8731689453125,양파,2025,5
2025-06-01,1193.2047119140625,양파,2025,6
2025-07-01,1268.16650390625,양파,2025,7
2025-08-01,1293.9393310546875,양파,2025,8
2025-09-01,1152.23828125,양파,2025,9
2025-10-01,1068.609619140625,양파,2025,10
2025-11-01,1075.2177734375,양파,2025,11
2025-12-01,1028.107666015625,양파,2025,12
2025-01-01,1631.292236328125,대파,2025,1
2025-02-01,1551.76513671875,대파,2025,2
2025-03-01,1641.645263671875,대파,2025,3
2025-04-01,1643.03564453125,대파,2025,4
2025-05-01,1642.84326171875,대파,2025,5
2025-06-01,1641.23828125,대파,2025,6
2025-07-01,1610.6007080078125,대파,2025,7
2025-08-01,1633.43310546875,대파,2025,8
2025-09-01,1629.2437744140625,대파,2025,9
2025-10-01,1629.08154296875,대파,2025,10
2025-11-01,1623.8427734375,대파,2025,11
2025-12-01,1631.9434814453125,대파,2025,12
2025-01-01,4497.792159808232,오이,2025,1
2025-02-01,4159.138065616548,오이,2025,2
2025-03-01,3825.1535808166914,오이,2025,3
2025-04-01,2342.912555826032,오이,2025,4
2025-05-01,1710.4938254973183,오이,2025,5
2025-06-01,1515.7409672514789,오이,2025,6
2025-07-01,1925.1336548938489,오이,2025,7
2025-08-01,2184.6183876232685,오이,2025,8
2025-09-01,2571.1927467472738,오이,2025,9
2025-10-01,2456.270362906353,오이,2025,10
2025-11-01,2984.0632402498136,오이,2025,11
2025-12-01,3534.7220581125,오이,2025,12
2025-01-01,5534.353177248809,상추,2025,1
2025-02-01,3908.8944801974058,상추,2025,2
2025-03-01,3642.6414039879055,상추,2025,3
2025-04-01,3078.107310031905,상추,2025,4
2025-05-01,2962.2584441971526,상추,2025,5
2025-06-01,3753.7933082729937,상추,2025,6
2025-07-01,7679.752654686599,상추,2025,7
2025-08-01,8906.341039087903,상추,2025,8
2025-09-01,9965.462250252358,상추,2025,9
2025-10-01,7195.533931911217,상추,2025,10
2025-11-01,3292.490300518736,상추,2025,11
2025-12-01,3810.894285508797,상추,2025,12
2025-01-01,2024.573974609375,고구마,2025,1
2025-02-01,2052.865478515625,고구마,2025,2
2025-03-01,2039.0390625,고구마,2025,3
2025-04-01,2261.031982421875,고구마,2025,4
2025-05-01,2295.0732421875,고구마,2025,5
2025-06-01,2334.068115234375,고구마,2025,6
2025-07-01,2397.01904296875,고구마,2025,7
2025-08-01,2145.0546875,고구마,2025,8
2025-09-01,1960.308349609375,고구마,2025,9
2025-10-01,2210.23828125,고구마,2025,10
2025-11-01,2260.0625,고구마,2025,11
2025-12-01,2268.335205078125,고구마,2025,12
